Arrest Date,Time,Area Name,Age,Sex Code,Descent Code,Arrest Type Code,Charge Description,latitude,longitude,loja_0.5_milha,loja_1_milha,escola_0.5_milha,escola_1_milha
2019-07-31,1715.0,Pacific,36,M,B,M,poss marijuana or concentrated cannabis,33.9428,-118.4054,0,0,0,0
2019-07-30,940.0,Pacific,41,M,B,F,transport/sell/furnish/etc marijuana,33.998000000000005,-118.4108,1,1,2,4
2019-07-26,1130.0,Southeast,21,F,H,M,possess marijuana for sale,33.931,-118.2916,1,1,2,9
2019-07-26,1130.0,Southeast,27,M,H,M,possess marijuana for sale,33.931,-118.2916,1,1,2,9
2019-07-26,750.0,N Hollywood,24,M,B,M,sale/offer to sell/transport marijuana,34.167,-118.3759,3,7,2,9
2019-07-28,1755.0,Pacific,30,F,B,F,transport/sell/furnish/etc marijuana,33.9449,-118.4059,0,1,0,0
2019-07-30,110.0,Pacific,51,M,W,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2019-07-28,30.0,Pacific,25,M,W,M,poss marijuana or concentrated cannabis,33.9428,-118.4054,0,0,0,0
2019-07-26,1130.0,Southeast,22,F,H,M,possess marijuana for sale,33.931,-118.2916,1,1,2,9
2019-07-28,750.0,Pacific,31,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-07-30,1740.0,Southeast,25,F,H,M,possess marijuana for sale,33.9447,-118.2739,0,1,5,15
2019-08-03,25.0,Pacific,25,M,H,F,transport/sell/furnish/etc marijuana,33.9428,-118.4054,0,0,0,0
2019-07-20,1430.0,Pacific,52,M,H,F,sale/trans >28.5g marijuana or >4g,33.944,-118.4073,0,1,0,0
2019-08-08,1750.0,Southeast,21,F,H,M,sale/offer to sell/transport marijuana,33.933,-118.2783,0,1,2,12
2019-08-07,1830.0,77th Street,24,F,H,M,possess marijuana for sale,33.9655,-118.309,1,2,1,8
2019-08-05,1610.0,Hollywood,42,M,B,I,smoke/ingest marijuana in public place,34.1034,-118.3325,8,9,1,3
2019-08-05,900.0,Pacific,26,M,B,F,transport/sell/furnish/etc marijuana,33.9449,-118.4059,0,1,0,0
2019-08-07,1810.0,77th Street,27,M,B,F,transport/sell/furnish/etc marijuana,33.979,-118.3112,3,4,2,7
