,name,is_closed,url,rating,price,review_count,latitude,longitude,location
48,MMD HOLLYWOOD,False,https://www.yelp.com/biz/mmd-hollywood-hollywood?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,96,34.0984988,-118.3297582,"(34.0984988, -118.3297582)"
49,420 King Marijuana Delivery,False,https://www.yelp.com/biz/420-king-marijuana-delivery-hollywood-4?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,53,34.0941333563786,-118.339812863159,"(34.0941333563786, -118.339812863159)"
50,Sun Valley Caregivers,False,https://www.yelp.com/biz/sun-valley-caregivers-sun-valley?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,$,40,34.2380086,-118.3698842,"(34.2380086, -118.3698842)"
51,Goddess Delivers,False,https://www.yelp.com/biz/goddess-delivers-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,42,33.97908,-118.25009,"(33.97908, -118.25009)"
52,La Brea Collective,False,https://www.yelp.com/biz/la-brea-collective-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,57,34.0481326,-118.3476599,"(34.0481326, -118.3476599)"
53,The Artist Tree,False,https://www.yelp.com/biz/the-artist-tree-west-hollywood?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,72,34.08784933,-118.37994233,"(34.08784933, -118.37994233)"
54,Sunset Herbal Corner Dispensary,False,https://www.yelp.com/biz/sunset-herbal-corner-dispensary-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,72,34.172473,-118.382416,"(34.172473, -118.382416)"
55,Alternative Herbal Health Services,False,https://www.yelp.com/biz/alternative-herbal-health-services-west-hollywood-4?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,53,34.09056,-118.36021,"(34.09056, -118.36021)"
56,Golden Leaf Scientifics,False,https://www.yelp.com/biz/golden-leaf-scientifics-santa-monica?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,3.5,$$,125,34.0053558349609,-118.479789733887,"(34.0053558349609, -118.479789733887)"
57,Stiiizy,False,https://www.yelp.com/biz/stiiizy-los-angeles-3?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,3.5,,126,34.05253083,-118.23209167,"(34.05253083, -118.23209167)"
58,Los Angeles Patients & Caregivers Group,False,https://www.yelp.com/biz/los-angeles-patients-and-caregivers-group-west-hollywood?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,$$,99,34.0907688800547,-118.346886039038,"(34.0907688800547, -118.346886039038)"
59,Project Cannabis,False,https://www.yelp.com/biz/project-cannabis-los-angeles-2?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,3.5,$$,106,34.164773,-118.367368,"(34.164773, -118.367368)"
60,Hollywood High Grade,False,https://www.yelp.com/biz/hollywood-high-grade-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,3.5,,101,34.09108,-118.34312,"(34.09108, -118.34312)"
61,Gradus by SOCC,False,https://www.yelp.com/biz/gradus-by-socc-north-hollywood?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.5,,34,34.1750832,-118.3804574,"(34.1750832, -118.3804574)"
62,Fountain Of Wellbeing,False,https://www.yelp.com/biz/fountain-of-wellbeing-north-hollywood-2?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,5.0,,18,34.2021534,-118.391379,"(34.2021534, -118.391379)"
63,Strain Balboa Caregivers,False,https://www.yelp.com/biz/strain-balboa-caregivers-chatsworth?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,124,34.25767,-118.60133,"(34.25767, -118.60133)"
64,Treetop LA,False,https://www.yelp.com/biz/treetop-la-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,53,34.07543,-118.22145,"(34.07543, -118.22145)"
65,Cannary West,False,https://www.yelp.com/biz/cannary-west-los-angeles?adjust_creative=ZWy0ubD0XpxR_wgB9r9oJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZWy0ubD0XpxR_wgB9r9oJA,4.0,,41,34.0373,-118.4327,"(34.0373, -118.4327)"
